fold,comparison,delta_roc_auc,delta_pr_auc,delta_f1,delta_brier,delta_ece
45,tokens_vs_numeric,-0.00011086673573501571,-0.011228035152031413,0.0,-1.3128695505737475e-07,5.508473602811037e-06
45,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
46,tokens_vs_numeric,0.00015918982321277975,0.0011675595330032928,0.004061134177670622,-0.00037591298795691674,-0.0005127068274887493
46,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
47,tokens_vs_numeric,-0.001852090468278389,-0.0035274008742859353,0.0,-2.7106957511957575e-08,5.29070800858733e-06
47,fusion_vs_tokens,-0.013357431080668725,-0.012274581315881328,0.0,2.4315149105280653e-07,4.415389662004721e-06
48,tokens_vs_numeric,-0.004979431189894468,-0.0029335724261305707,0.024257824573623354,-0.0011746963085828566,-0.007755068665648013
48,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
49,tokens_vs_numeric,0.0035707671445349143,0.008057321844890497,0.0124804992199688,0.0002478847882084467,-0.0011683389194517418
49,fusion_vs_tokens,0.002523121003852602,0.001974446400564267,-0.011421737970630525,-0.00025868941067203055,0.0007859748661000546
50,tokens_vs_numeric,0.008620933371970674,0.01020642387451176,-0.010917030567685589,-0.000534533828497108,-0.0006149100087193965
50,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
51,tokens_vs_numeric,0.01830946555012891,0.0008527870336253462,-0.261525251564091,-0.0009305077858073885,-0.0035644272250143633
51,fusion_vs_tokens,-0.0032679419980915503,0.0052229562270166285,0.13589950019014374,-0.00039416997867947057,-0.002720136562564035
52,tokens_vs_numeric,0.003369916783282967,0.0013788950709630043,0.0,8.418037069524154e-06,4.339171287826016e-05
52,fusion_vs_tokens,0.0010995086143966715,0.0012157138005750578,-0.005521717084075117,0.00244498487398076,0.003586534116993917
53,tokens_vs_numeric,0.0035479743936615016,4.770336613169057e-06,0.013213732239672097,0.0006342740926628121,0.008332598042339198
53,fusion_vs_tokens,0.0013374385955045587,-1.670036222412019e-05,-0.010498762611840854,-0.0001650866187506983,-0.00015046023880589676
54,tokens_vs_numeric,-0.03203978997724316,-0.01747009222404361,0.1661374814079486,6.450075343111816e-06,0.0016377543612042071
54,fusion_vs_tokens,0.026768802022278937,0.014186274314724578,-0.1681698837120667,-3.192303033799915e-05,-0.0003255639842657809
55,tokens_vs_numeric,0.015074016407761959,0.02191748595737386,0.21497199152778554,-0.00048333603928646385,-0.0008621617911927174
55,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
