symbol,n_days,n_filings,n_folds,auc_numeric,auc_tokens,auc_fusion,f1_numeric,f1_tokens,f1_fusion,brier_numeric,brier_tokens,brier_fusion,ece_numeric,ece_tokens,ece_fusion,delta_auc_tok_num,delta_auc_fus_tok,delta_f1_tok_num,delta_f1_fus_tok,delta_brier_tok_num,delta_brier_fus_tok,delta_ece_tok_num,delta_ece_fus_tok,tok_beats_num,fus_beats_tok,full_hypothesis
NAUKRI,2452,483,56,0.5279640647348817,0.5073908910192806,0.5141782432413724,0.3828528589542807,0.3516354798871654,0.3603925558425591,0.26432401947116063,0.27064722446063894,0.2695540832252691,0.14021566709332287,0.16245403470189965,0.15947271616042263,-0.02057317371560108,0.006787352222091814,-0.031217379067115247,0.008757075955393656,0.006323204989478304,-0.0010931412353698544,0.02223836760857678,-0.0029813185414770127,False,True,False
INFY,2452,540,56,0.511045891077914,0.5104029586837654,0.5136722172559965,0.4235550607310217,0.3984163141318745,0.42756775847681844,0.277019778174623,0.27417099292190183,0.2757178701513965,0.1654207922979054,0.16231985587761985,0.1696708052296422,-0.0006429323941485876,0.0032692585722311485,-0.02513874659914722,0.029151444344943933,-0.002848785252721142,0.0015468772294946476,-0.003100936420285555,0.007350949352022351,False,True,False
AMBUJACEM,2452,1094,56,0.5284874891252864,0.5369116400103441,0.5124807034674567,0.4659188475008139,0.47854088026873276,0.4658549947049667,0.268860596140746,0.2722316205472824,0.27139585707862496,0.15005703690994143,0.15441889569630277,0.16179762399682382,0.008424150885057657,-0.024430936542887416,0.012622032767918845,-0.012685885563766042,0.003371024406536416,-0.0008357634686574356,0.004361858786361333,0.0073787283005210536,True,False,False
ICICIGI,2025,1571,46,0.49198315715493385,0.49517893505971367,0.5123523407517293,0.38892913291175185,0.4048479816465224,0.4238202217483449,0.26881745054100287,0.2708890382377513,0.26951020570075285,0.1401311313526107,0.15251657211374925,0.15430588350294697,0.0031957779047798174,0.017173405692015642,0.015918848734770563,0.01897224010182247,0.0020715876967484226,-0.0013788325369984422,0.012385440761138539,0.0017893113891977175,True,True,True
DABUR,2452,671,56,0.5118036308945005,0.5094140954158244,0.5114607664199972,0.3912858841077611,0.40749095545481867,0.403155582516372,0.2643344296026724,0.2722805121832641,0.2710051629546078,0.13965114717618635,0.15739851080825515,0.15333803957515404,-0.0023895354786761525,0.002046671004172773,0.016205071347057565,-0.004335372938446658,0.007946082580591707,-0.0012753492286562973,0.017747363632068802,-0.004060471233101104,False,True,False
HINDALCO,2453,1206,56,0.5069998045497772,0.5064880191796605,0.5114022239815074,0.4436744453260104,0.4843867280876722,0.49130325041313716,0.26254278180630075,0.2669495517553871,0.26834669961291,0.13985359172088188,0.145257304911852,0.15967890892828604,-0.0005117853701167574,0.0049142048018469,0.04071228276166178,0.006916522325464969,0.004406769949086342,0.001397147857522929,0.005403713190970105,0.014421604016434053,False,True,False
SIEMENS,2453,81,56,0.5032576174685082,0.5228313331613791,0.5099141177005168,0.4297536018383484,0.44712965957344963,0.4456787812157646,0.2717953461820416,0.2764987763215133,0.27898715028100857,0.15648496871404677,0.16918066197063344,0.167534991636187,0.01957371569287092,-0.01291721546086233,0.017376057735101258,-0.001450878357685037,0.00470343013947172,0.002488373959495249,0.012695693256586676,-0.0016456703344464585,True,False,False
INDIGO,2452,677,56,0.5174706574154337,0.504718731191212,0.5098380248261428,0.4530522859750684,0.4918435608112886,0.48845641779895693,0.2700302107474787,0.2664239371178356,0.2690888785873272,0.15012438323619667,0.1445199089454006,0.15819090806322003,-0.012751926224221721,0.005119293634930799,0.03879127483622019,-0.0033871430123316726,-0.0036062736296431086,0.002664941469491644,-0.00560447429079608,0.013670999117819438,False,True,False
VEDL,2453,182,56,0.5349237200930131,0.5208781972493266,0.5096466465902927,0.4358738087041562,0.4263342712326343,0.4281758510351738,0.2820845840741204,0.2691675687435971,0.26953716752158857,0.17722415373267825,0.1541584611947814,0.150748650704606,-0.014045522843686542,-0.011231550659033918,-0.00953953747152192,0.001841579802539517,-0.012917015330523307,0.00036959877799147556,-0.023065692537896837,-0.0034098104901754134,False,False,False
HAVELLS,2453,772,56,0.4938075954480725,0.5190661212617228,0.509317547445249,0.421193462957819,0.46404650370507144,0.4374088377142838,0.2713220960394881,0.2660826338566795,0.2665104380662572,0.15499663243155098,0.14083883822369092,0.15570661095549568,0.02525852581365029,-0.00974857381647376,0.042853040747252436,-0.02663766599078765,-0.005239462182808574,0.00042780420957766463,-0.014157794207860064,0.014867772731804757,True,False,False
INDHOTEL,2453,1075,56,0.5207447666826884,0.5234241934531535,0.5087803663464585,0.4137041694573078,0.3891288135508405,0.42639242456607435,0.26594669166084045,0.2778019884205802,0.2738740197661954,0.15246412263633133,0.16995721356936144,0.16816110830642592,0.0026794267704650654,-0.014643827106694984,-0.02457535590646731,0.037263611015233844,0.01185529675973973,-0.0039279686543847725,0.017493090933030114,-0.0017961052629355267,True,False,False
APOLLOHOSP,2452,783,56,0.5269549258911216,0.5157374830987108,0.508631649486793,0.38493028977230487,0.39677336245692896,0.38396180938605823,0.25861448670970855,0.2678855610304501,0.2676820459072012,0.1274135583314075,0.15534372262730686,0.14921105656866493,-0.01121744279241077,-0.0071058336119178556,0.01184307268462409,-0.01281155307087073,0.009271074320741535,-0.00020351512324889853,0.027930164295899368,-0.0061326660586419335,False,False,False
