strategy,variant,n_features,roc_auc,pr_auc,f1,brier,ece
S4_M1+nzM2+nzM3,LGBM_concat,33,0.5027536090777052,0.4905977520748056,0.3240622729965163,0.2526451360851586,0.05897825090845138
S4_M1+nzM2+nzM3,Late_LR,33,0.5145055249375959,0.5042433250350327,0.32404043557003076,0.25267780687537156,0.05826283458511003
S4_M1+nzM2+nzM3,Late_LGBM,33,0.5031558281470907,0.4949427457706561,0.3239898047910974,0.25255829031248556,0.058320876840202096
S4_M1+nzM2+nzM3,CrossModal,33,0.5129101737130053,0.5051222319824298,0.3239838205624958,0.2527260308196295,0.05860374918966508
S5_top10_global,LR_concat,10,0.506833702999236,0.4999615891584538,0.3428166134781644,0.2523604373195171,0.059963685691822394
S5_top10_global,LGBM_concat,10,0.5117214318809977,0.5028130419002482,0.3506043418970214,0.2525043454663563,0.05934632233175847
S5_top15_global,LR_concat,15,0.5053910831377371,0.49790985530664644,0.33902900766952115,0.2523373423384151,0.05764614480923971
S5_top15_global,LGBM_concat,15,0.510422960717902,0.4979782359692012,0.32764292400662337,0.2526588947432341,0.05819542717517543
S5_top20_global,LR_concat,20,0.5058320659969823,0.496263234213694,0.33253174097983257,0.2523603789723331,0.057665148932843246
S5_top20_global,LGBM_concat,20,0.5009707639927414,0.4891948026257854,0.3246807996248747,0.25264430316490377,0.05884925274489563
S5_nonzero_global,LR_concat,33,0.5001775907880766,0.4903709143480315,0.33312890990667915,0.25249882218388064,0.057428726054085194
S5_nonzero_global,LGBM_concat,33,0.5051245509509749,0.4926735801871942,0.32919026250432004,0.2526323613077033,0.05809538413767065
S6_M1+M2_drop_breakout,LR_concat,24,0.5004626987575008,0.4917001253594432,0.3265056821967104,0.2524831203875773,0.05796958010931588
S6_M1+M2_drop_breakout,LGBM_concat,24,0.5044329354135639,0.49357359163816344,0.31897116777455947,0.25236031861732444,0.05771653795827582
S6_M1+M2_drop_breakout,Late_LR,24,0.5103148589359205,0.5013493315747208,0.32399843657095584,0.25265232003665605,0.05826180493790039
S6_M1+M2_drop_breakout,Late_LGBM,24,0.505191420414786,0.49734582854378195,0.3239898047910974,0.25255486579535247,0.05815793894132812
S6_M1+M2_drop_breakout,CrossModal,24,0.5099921553030753,0.5023530181639592,0.32393399362029457,0.2526693112004311,0.058400721944256564
S6_M1+M2_drop_gap,LR_concat,21,0.5057910703148585,0.49647940989312206,0.3205325294821229,0.2525002635649462,0.05818857465388279
S6_M1+M2_drop_gap,LGBM_concat,21,0.5064399331099795,0.49471109122384305,0.32977402853774657,0.2525802665397807,0.0580180751007254
S6_M1+M2_drop_gap,Late_LR,21,0.5098629695364294,0.49904936260234367,0.32399843657095584,0.252515720426801,0.05815246920963371
S6_M1+M2_drop_gap,Late_LGBM,21,0.5051182837076664,0.49680434910614346,0.3239898047910974,0.2525330281417417,0.05824716629122409
S6_M1+M2_drop_gap,CrossModal,21,0.5110657298432727,0.5006703049845025,0.3239958802227396,0.25252240001055126,0.05839412036847487
S6_M1+M2_drop_volume_burst,LR_concat,24,0.49955049315510286,0.49213359792748007,0.32850996420320694,0.2524150531045283,0.05748682485096791
S6_M1+M2_drop_volume_burst,LGBM_concat,24,0.5059484243843964,0.495092506243845,0.32655954770941686,0.2525161222179982,0.058219766900142286
S6_M1+M2_drop_volume_burst,Late_LR,24,0.5121635641053799,0.5024213853692989,0.32438476874293487,0.25262351797055593,0.05804408139397761
S6_M1+M2_drop_volume_burst,Late_LGBM,24,0.49944374277527237,0.4898217671073199,0.3239898047910974,0.252640046930122,0.0583722420631993
S6_M1+M2_drop_volume_burst,CrossModal,24,0.5078159373652019,0.4987612212981643,0.32442487929073827,0.25270860585994154,0.05848721983543237
S6_M1+M2_drop_round_touch,LR_concat,24,0.5043265355988551,0.49573267273796623,0.3251434270035129,0.2524531497242966,0.05766149277751798
S6_M1+M2_drop_round_touch,LGBM_concat,24,0.5028487861127577,0.49281079030618113,0.3248464368218602,0.25250490821530036,0.057977139630230906
S6_M1+M2_drop_round_touch,Late_LR,24,0.5099839498206761,0.5002182600514967,0.3242852009954364,0.25286240877598504,0.05860517550118477
S6_M1+M2_drop_round_touch,Late_LGBM,24,0.5028901114787414,0.492809395581317,0.3235285658578234,0.2526932478074351,0.05880788825980421
S6_M1+M2_drop_round_touch,CrossModal,24,0.5059078647614654,0.4970053757848385,0.32352436503903337,0.2529963117002574,0.059698129411335614
S6_M1+M2_drop_engulfing,LR_concat,21,0.5068537462366847,0.4972820298934896,0.3423201799131076,0.25235235146673907,0.057272095293053354
S6_M1+M2_drop_engulfing,LGBM_concat,21,0.4972093289572229,0.4898875584073162,0.3307894855615343,0.25262779078270964,0.05832891812958432
S6_M1+M2_drop_engulfing,Late_LR,21,0.5055204478925126,0.4953061460958372,0.3239864697912472,0.2526316828232755,0.05810498223995473
S6_M1+M2_drop_engulfing,Late_LGBM,21,0.5030227764172963,0.4921398558969157,0.3244090334104378,0.2525494507702343,0.05806056304894837
S6_M1+M2_drop_engulfing,CrossModal,21,0.506420959212915,0.4953948749249978,0.3247648645685924,0.2526438562466512,0.058238384065873214
S7_top3M1+top3M3,LR_concat,6,0.514369964362673,0.5024984152295604,0.3183271829327312,0.25261022252008,0.05977073687554633
S7_top3M1+top3M3,LGBM_concat,6,0.4995285517187249,0.4887265229244691,0.32449690146929355,0.2527423686940733,0.05865894888763569
S7_top3M1+top3M3,Late_LR,6,0.5156575553069827,0.503732346833043,0.32361902400581566,0.2525154926629948,0.05856634242178855
S7_top3M1+top3M3,Late_LGBM,6,0.5002557019309514,0.48811677956884203,0.32388028834248495,0.2525131561757706,0.05768592409381815
S7_top3M1+top3M3,CrossModal,6,0.5141524267049934,0.503025494759259,0.32338068047678276,0.25246728066309043,0.058251216191465005
S7_top4M1+allM3,LR_concat,11,0.512705990848496,0.5019613098318508,0.3279089764007822,0.25253918762049815,0.059365355407114205
S7_top4M1+allM3,LGBM_concat,11,0.5083435586129073,0.4948891662432069,0.33961308658590494,0.2527180869377235,0.05960776575593295
S7_top4M1+allM3,Late_LR,11,0.5160587243637302,0.5028312488917059,0.3239105234996871,0.2525066162692766,0.058107698014515416
S7_top4M1+allM3,Late_LGBM,11,0.5064888675457585,0.4934070674139242,0.3236197343105717,0.2524908857431196,0.05803623595689815
S7_top4M1+allM3,CrossModal,11,0.5185578186630604,0.5031103780126251,0.3235257646124961,0.25246631534309905,0.05815726411933336
