r2,mae,rmse,spearman,spearman_p,auc_vol_high,fold,variant,n_test,fusion_weight_ts
0.10044755863897536,0.009235745992511516,0.013916177949790096,0.3544169683411217,1.5420415585844927e-109,0.5586829315180292,51,numeric_tokens,3686,
0.05811668726961561,0.008568991007570243,0.01085017218212188,0.3872750000193458,3.8007854098401875e-153,0.588543242568444,52,numeric_tokens,4279,
-0.11052938472840412,0.008253246432374808,0.01014524733588373,0.28025978810880003,3.704647394569226e-75,0.5595185299319364,53,numeric_tokens,4116,
0.04098775011748479,0.007769936308835284,0.011976658740397224,0.28655112302159835,5.654261482648807e-75,0.5814325025445916,54,numeric_tokens,3920,
0.03997903087243648,0.006962995885986408,0.009420703829473845,0.36978825664914305,1.996931500540996e-130,0.5799285757386453,55,numeric_tokens,4018,
-0.0589732928887583,0.007366760391663894,0.01112206451092323,0.27467199379594853,2.193692412267573e-22,0.544008884207634,56,numeric_tokens,1210,
0.08017041888723442,0.01018766992927354,0.01480791671196306,0.37313609857109264,3.1872491962406318e-108,0.5158248836208814,0,ts_text_fusion,3260,1.0
-0.002256310511097981,0.01255050273111156,0.022010487877619302,0.32749347734862416,5.744231087050332e-90,0.5072495999813644,1,ts_text_fusion,3568,1.0
0.12616746598033246,0.009320328912143752,0.013512911095946493,0.4171435844346457,8.371034969481764e-147,0.5578902238614203,2,ts_text_fusion,3485,0.9500000000000001
0.12803713469836864,0.009652934258528598,0.014810223807235937,0.3924436476199612,1.4824676302562983e-123,0.5589686625382639,3,ts_text_fusion,3344,1.0
0.13158402485384513,0.00957218272544,0.013455216348088715,0.40005202166343795,3.3602738382639186e-138,0.5588325486503452,4,ts_text_fusion,3593,1.0
0.12363367037838047,0.009641769199167698,0.01448689959124498,0.4204481754720519,6.094590681593164e-153,0.5889855885135341,5,ts_text_fusion,3570,1.0
0.13425340197186442,0.01017115551147948,0.015799491258463326,0.3972892607778071,2.658104614924174e-140,0.5679911660541856,6,ts_text_fusion,3704,1.0
0.14984707531804675,0.009241149080603295,0.013763387099822695,0.42868561420618,9.984606332280821e-165,0.5986437677435423,7,ts_text_fusion,3687,0.8500000000000001
0.1628390498508816,0.01051542480957522,0.015569429739695224,0.49906667881996075,1.2337223741371897e-215,0.6361487228611469,8,ts_text_fusion,3432,0.8
0.1802683577357913,0.009413954205410356,0.013911627022245427,0.4555813378332463,4.33883391201494e-186,0.5839104193521911,9,ts_text_fusion,3641,1.0
0.1763832308606358,0.009725778098283245,0.014164905095361897,0.4380912635037673,4.823170785892104e-180,0.6007972425948269,10,ts_text_fusion,3844,0.9
0.17018411045236403,0.011124454847808942,0.016746257286624426,0.4577906768812545,1.1314757340344785e-195,0.614996210552414,11,ts_text_fusion,3789,0.8500000000000001
0.02890816384867889,0.014710358209213738,0.024342510249108874,0.4101988272027201,8.394550502840843e-147,0.5950637122237258,12,ts_text_fusion,3616,0.9
0.12115173200029605,0.010465741825810511,0.014808708359408392,0.38262290240691077,1.3038322014188888e-130,0.5521108150718013,13,ts_text_fusion,3738,0.8
0.11971627125932283,0.011710426083629932,0.018070062636173386,0.4096521909963479,4.712819708155281e-151,0.5926194192226217,14,ts_text_fusion,3733,0.8
0.12925895345645944,0.00986953803799345,0.013656104631483219,0.4731904253564504,6.69404881339478e-198,0.5862736543076283,15,ts_text_fusion,3556,1.0
0.15919312112163897,0.010981992922357145,0.01572450971754125,0.4577203078102599,2.147568592472996e-197,0.5972892307480805,16,ts_text_fusion,3824,1.0
0.1285150480725351,0.011062818075481007,0.016243539455446637,0.4474485763404241,2.0918060389879906e-183,0.6077423948220064,17,ts_text_fusion,3736,1.0
0.11197043083146441,0.012285631059559552,0.01996004465410737,0.4459201418430436,9.921372987864821e-170,0.6178098210914984,18,ts_text_fusion,3481,0.9
0.16800598615779927,0.009863214350924394,0.013083296347078846,0.4950713507150668,2.1307997426721062e-244,0.6138942800006434,19,ts_text_fusion,3967,0.8500000000000001
0.20966242906895394,0.010896816948283625,0.015836886133413417,0.5067783892401642,1.9364494572744527e-245,0.6522175436720694,20,ts_text_fusion,3774,1.0
-0.2114581098190389,0.03411003172178976,0.05512640994438785,0.43660180738312043,1.8269461002525994e-158,0.6508942885134104,21,ts_text_fusion,3404,1.0
0.13460752624853733,0.013826129968166111,0.020228719781497168,0.47857552084905325,7.757973903613268e-231,0.6631024418405747,22,ts_text_fusion,4048,1.0
0.14322529066508083,0.011569336493885488,0.016873392231585776,0.41726871281048894,2.5569464014963363e-170,0.6177975064575834,23,ts_text_fusion,4048,1.0
0.029105681140442874,0.01203063641204067,0.016516516508230814,0.39638044858290444,1.4654839497991199e-145,0.5792556354174864,24,ts_text_fusion,3864,1.0
0.16007800429860808,0.013179927860300774,0.018288777812789387,0.465389449908062,3.158995154437621e-197,0.6337264547993797,25,ts_text_fusion,3680,1.0
0.1485966651178554,0.012708073809198191,0.01788144649928619,0.40233034262005485,3.135609762202506e-151,0.5883472142125898,26,ts_text_fusion,3888,1.0
0.17439748258836518,0.0115173841959073,0.01633265029856088,0.4390402973608031,6.158157132647908e-167,0.6001642985875351,27,ts_text_fusion,3544,0.9
0.18522873531830775,0.011468276383341924,0.015925272105601077,0.5160580982729883,5.176695610856849e-274,0.6625816993464053,28,ts_text_fusion,4042,1.0
0.15902482056331735,0.010473041296488697,0.013935499749441629,0.4364953754535697,1.0610977141650452e-187,0.600878470782192,29,ts_text_fusion,4042,1.0
0.21122246135012734,0.011990516908526204,0.018295234287555643,0.4757226964926837,6.442996406616922e-217,0.6194296911840556,30,ts_text_fusion,3854,1.0
0.16118371986799152,0.010323836137470645,0.013794085735237598,0.44844114985950057,4.54862543446081e-190,0.5849861950296674,31,ts_text_fusion,3854,0.9500000000000001
0.12723161034878838,0.010885364330776602,0.01576981188258647,0.411079456371643,4.570172060950174e-157,0.5872659526180652,32,ts_text_fusion,3854,0.8500000000000001
0.12758508087456288,0.010801729656071346,0.014544576963061289,0.3312959194306745,1.254495010003334e-94,0.5675372573417019,33,ts_text_fusion,3666,0.9
0.12078582154256079,0.01115762224439166,0.016838547529266314,0.3972795617253701,3.4313248091557475e-154,0.5888382919945943,34,ts_text_fusion,4076,0.7000000000000001
0.11201211019660096,0.009768940023859394,0.012717723100205955,0.4205390587941951,8.690677654919822e-171,0.574537958126957,35,ts_text_fusion,3990,0.8500000000000001
0.1212589722938594,0.010082763472571438,0.013667473976831128,0.4134704860758807,1.3376273894183431e-164,0.5894488531525179,36,ts_text_fusion,3990,1.0
0.20487926636578113,0.009088069751780819,0.012425049591698833,0.4247097786109957,1.6522046834023346e-174,0.622537152318468,37,ts_text_fusion,3990,1.0
0.17431375138841654,0.011616741274296247,0.02297123301333413,0.372117585139487,2.869875393811279e-131,0.6085310258451213,38,ts_text_fusion,3990,1.0
0.2866700421779641,0.008010551524125815,0.011272281495307368,0.3975972621365206,1.8362482683360872e-133,0.612603231802394,39,ts_text_fusion,3515,1.0
0.0876515408413302,0.008476717016425541,0.015700886832537203,0.4004586779519495,1.3574177826727085e-153,0.6330104590634567,40,ts_text_fusion,3990,1.0
0.17548049962790624,0.008201122413056823,0.011958641156383266,0.38324786804435884,2.1141366372244254e-143,0.6075551844655906,41,ts_text_fusion,4095,1.0
0.24096953792050824,0.008069484769609704,0.011712205704539623,0.44915600150450175,1.8455183606627978e-199,0.629881625627876,42,ts_text_fusion,4032,1.0
0.2704129411198579,0.009148595791224708,0.015279537604354207,0.5079065330650446,5.541295459580225e-251,0.6670281878615212,43,ts_text_fusion,3840,1.0
0.15188975874838617,0.010022858922863951,0.015923248917007377,0.4261211805911059,3.033637004785993e-169,0.6210853833566472,44,ts_text_fusion,3840,0.8500000000000001
0.1182312825017734,0.009747940253731486,0.015290444043884327,0.40222699698855496,1.2787510053313262e-145,0.5954753278805233,45,ts_text_fusion,3744,0.8
0.17877402109904816,0.012711385673537743,0.02503324738380979,0.3784930599366522,4.69207330255471e-131,0.5855987340362341,46,ts_text_fusion,3840,0.75
