fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
46,numeric_only,test,0.49317639859169293,0.4911098994666157,0.6562996995935678,0.25174757729049785,0.0213200266231674,3936,0.5043191313743591,0.1057449520918402,0.4442366967017898
47,numeric_only,test,0.5050576786138143,0.5099755588052792,0.6678230702515178,0.25000731371356294,0.0030145811970802017,3840,0.5013020634651184,,
48,numeric_only,test,0.49994323035573385,0.47290483611988177,0.5372924947393033,0.25223682379186124,0.05005647287132897,3846,0.4667186737060547,0.39870086947133604,0.26815703335700175
49,numeric_only,test,0.4918465461623185,0.43172628746237274,0.0,0.2472404391576864,0.024825533908142128,4268,0.44189316034317017,,
50,numeric_only,test,0.5211870171817905,0.5076327317252454,0.010917030567685589,0.25258915545005334,0.05138694199227835,3686,0.4915897846221924,-0.02000605474702327,0.5068234762421959
51,numeric_only,test,0.5042239802168735,0.5793654133017855,0.4617493830545654,0.25185712042586067,0.07945245483509236,3880,0.5685567259788513,0.4809875049577205,0.3353098545740337
52,numeric_only,test,0.48542148527969486,0.44311964502004875,0.6231301270709345,0.2612001229676187,0.11596044047300746,4280,0.4525700807571411,,
53,numeric_only,test,0.4804889396405657,0.4959587355054812,0.015912481352560914,0.25350840665913876,0.05480994127123133,3920,0.5066326260566711,2.388576694153183,-0.6237060505615688
54,numeric_only,test,0.4993898957861972,0.4855160256525751,0.46709605152618316,0.25041137482041154,0.020122231897213436,3822,0.48482468724250793,0.041420960535687404,0.46390931391273643
55,numeric_only,test,0.5058050047574707,0.4891985522397164,0.07480073574494175,0.2499662615184339,0.006725778587291956,3072,0.490234375,-0.11081517891385138,0.5439683141876138
0,numeric_tokens,test,0.5288230545127985,0.5014609153254047,0.5199516324062878,0.24935657439151257,0.029694020813504866,3259,0.4700828492641449,1.1465397696610522,-0.10282363404357697
1,numeric_tokens,test,0.5001789477094694,0.5130814562253332,0.0,0.25138558024825486,0.038121618822223535,3652,0.5082146525382996,,
2,numeric_tokens,test,0.5177040074750832,0.5310251157039108,0.629082774049217,0.24961370503408842,0.007136404366720016,3400,0.5058823823928833,0.47880159526740546,0.3729236490680635
3,numeric_tokens,test,0.4809486412592346,0.4803416257055345,0.657623232709209,0.2501534130839329,0.01598343201629393,3513,0.48989468812942505,,
4,numeric_tokens,test,0.5155051881283388,0.522248924997502,0.3484903601309567,0.25043048422923614,0.022448773651866614,3570,0.5123249292373657,-0.6221985475012112,0.8266987661611291
5,numeric_tokens,test,0.5040966854015922,0.48586976083230593,0.6001373311970702,0.2507542923958753,0.028360629314089,3485,0.4849354326725006,0.7674959220796365,0.09098280031226891
6,numeric_tokens,test,0.5176422540336229,0.49623109330749604,0.06522882693319305,0.24946671307358345,0.004351939989946367,3704,0.4797516167163849,0.9793493572380381,0.005645109671231552
7,numeric_tokens,test,0.5187090308091259,0.49839345580019306,0.010893246187363835,0.24987854692895506,0.013340644511972458,3687,0.4909140169620514,-3.9968704104934183,2.406548578500908
8,numeric_tokens,test,0.5105498254023824,0.4707439981622192,0.35826771653543305,0.24937267380434866,0.022522995339467985,3344,0.4691985547542572,-0.04863144973172914,0.4931117117112481
9,numeric_tokens,test,0.5062950992806233,0.47837805158145164,0.0,0.24932324111807197,0.004420784014029178,3809,0.4736151099205017,,
10,numeric_tokens,test,0.5203231772417551,0.5136090633189141,0.11854684512428298,0.24946664564110035,0.01339253520504952,3840,0.4867187440395355,1.4987813396616967,-0.22298621255474638
11,numeric_tokens,test,0.5090104583720894,0.43806915909122746,0.31160714285714286,0.24855089061267932,0.06222660124710762,3427,0.4277794063091278,1.351392032786909,-0.2423653397938325
