fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
10,numeric_only,val,0.5827219040801718,0.47336020554077174,0.08,0.2371581344506864,0.0872485602215632,215,0.40930232405662537,-0.21640984512176917,0.48456260923829686
10,numeric_only,test,0.4919191919191919,0.4912106177805601,0.2975206611570248,0.2529234366567963,0.08740820149183862,200,0.44999998807907104,0.5305050324661034,0.25339212251279386
11,numeric_only,val,0.5906352683461117,0.44278010167208237,0.06593406593406594,0.23279373904600764,0.05853426499077848,215,0.38604649901390076,0.8209914759683404,0.025699832738566464
11,numeric_only,test,0.5127840909090909,0.5106759383436923,0.11428571428571428,0.26258771277066584,0.09987148692563938,195,0.4923076927661896,0.8507609137247137,0.1813269125476023
12,numeric_only,val,0.5402525252525252,0.510067035592786,0.10204081632653061,0.24671500655781997,0.037823560035975624,200,0.44999998807907104,0.09726028190586815,0.5129262978256227
12,numeric_only,test,0.6385167464114831,0.6562076483255496,0.17886178861788618,0.2501659063718908,0.11025999262681245,205,0.5365853905677795,5.487387800179081,-1.9319701782335064
13,numeric_only,val,0.5597117003367003,0.5479953812384153,0.5060240963855421,0.24571497879718457,0.040404072477047054,195,0.4923076927661896,0.7957627912442262,0.11885505452979162
13,numeric_only,test,0.5337696011853315,0.5297651383356506,0.2786885245901639,0.2535184163974259,0.05864454113911448,180,0.5055555701255798,0.3350137310979471,0.35420126135826613
14,numeric_only,val,0.5161722488038278,0.5452971906328236,0.6984126984126984,0.24846239853525998,1.8960338278639632e-05,205,0.5365853905677795,1.0,0.0
14,numeric_only,test,0.5408895265423243,0.5063982712581572,0.6238532110091743,0.25331598651545634,0.07933309291577173,75,0.4533333480358124,1.0,0.0
0,numeric_tokens,val,0.5418353576248313,0.6106377621880212,0.7147540983606557,0.24512776033257688,0.024828241516842074,205,0.5560975670814514,1.6324244465491133,-0.39430700699251575
0,numeric_tokens,test,0.4941289604210952,0.5593097017455351,0.7100977198697068,0.2484986533139935,0.01584990655761933,200,0.5550000071525574,-0.15968824313870422,0.6452746791567319
1,numeric_tokens,val,0.5198821796759941,0.5425520453356301,0.3076923076923077,0.24990728132144577,0.0162223979421914,195,0.49743589758872986,-1.2603228073877855,1.1243712256354859
1,numeric_tokens,test,0.5295618247298919,0.5259786847173156,0.25,0.24958974709154305,0.01518636448016542,200,0.5099999904632568,6.492891075740632,-2.7027709923852568
2,numeric_tokens,val,0.5591152950703513,0.5821250995110107,0.6884057971014492,0.244120686180732,0.030290603234535016,200,0.5550000071525574,0.7911236867903236,0.10514585417465372
