roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,fold,variant,subset,n
0.4674041982567435,0.4919405906486789,0.6296774193548387,0.2596636257895397,0.043601083372353924,557,0.5044883489608765,-1.5417342487946748,1.2015607932296573,3,gb_M4_cat_text_only,filing_days,557
0.4982706080870755,0.4900075998004851,0.6516766815274277,0.25077485067884897,0.020340708558036238,3513,0.48989468812942505,0.0029685398762862233,0.5100904705791547,3,lr_M4_cat_text_only,all_days,3513
0.4923474650575069,0.5063899636350084,0.6317169069462647,0.25395886820321445,0.03041215568412196,557,0.5044883489608765,0.028871111736822004,0.5018298719829842,3,lr_M4_cat_text_only,filing_days,557
0.5204612014401926,0.5023936657445572,0.6537191687706351,0.24999001133644952,0.015795351386332143,3513,0.48989468812942505,1.1477229257903439,-0.09049736004138709,3,M3_late_fusion,all_days,3513
0.5406158130898964,0.5232271777841009,0.643979057591623,0.24966604377253224,0.003929631189790951,557,0.5044883489608765,0.7968398699486003,0.1005443965062337,3,M3_late_fusion,filing_days,557
0.49447346849838136,0.4877876681154172,0.6513246954167472,0.25166232671260175,0.02196292005734607,3513,0.48989468812942505,-1.5551891723590818,1.204227520096775,3,M4b_cat_late_fusion,all_days,3513
0.4674041982567435,0.4919405906486789,0.6296774193548387,0.2596636257895397,0.043601083372353924,557,0.5044883489608765,-1.5417342487946748,1.2015607932296573,3,M4b_cat_late_fusion,filing_days,557
0.520716084501124,0.5329156979095926,0.35919540229885055,0.249889867853811,0.02148180730983859,3570,0.5123249292373657,0.5529820132490301,0.24089751633565454,4,gb_M1_numeric,all_days,3570
0.5221068112878021,0.5170379050263889,0.38242894056847543,0.24954667835990207,0.017018723403327503,511,0.49510762095451355,2.7885525169174454,-0.8726290032038608,4,gb_M1_numeric,filing_days,511
0.5291149766871035,0.53087565711905,0.19154676258992806,0.24991198337896392,0.022068628882742487,3570,0.5123249292373657,1.7113122215235927,-0.32665668153015803,4,lr_M1_numeric,all_days,3570
0.5525477219107148,0.5303427515993263,0.2229299363057325,0.249163689781165,0.011146990867805306,511,0.49510762095451355,4.7274136814247525,-1.8227367122808893,4,lr_M1_numeric,filing_days,511
0.5155051881283388,0.522248924997502,0.3484903601309567,0.25043048422923614,0.022448773651866614,3570,0.5123249292373657,-0.6221985475012112,0.8266987661611291,4,gb_M2_num_tok,all_days,3570
0.5099963231914698,0.49528215374192797,0.324468085106383,0.2513668296334658,0.01448768329469789,511,0.49510762095451355,0.16184221114300396,0.41288424470831675,4,gb_M2_num_tok,filing_days,511
0.46626546773863803,0.4886480229036753,0.0,0.2503839402557305,0.022451275890132405,3570,0.5123249292373657,,,4,lr_M2_num_tok,all_days,3570
0.4613475503263167,0.48308414965560165,0.0,0.25003315307000684,0.0052614261081277425,511,0.49510762095451355,,,4,lr_M2_num_tok,filing_days,511
0.4955677703876753,0.5109589859680245,0.0,0.25035123036359846,0.022430002475777977,3570,0.5123249292373657,,,4,gb_M3_text_only,all_days,3570
0.498284156019242,0.4960157335308329,0.0,0.2500031706056505,0.005212619045898981,511,0.49510762095451355,,,4,gb_M3_text_only,filing_days,511
0.5023810652864737,0.5123827442881228,0.0972972972972973,0.25042307733182256,0.024736756762040336,3570,0.5123249292373657,-2.2425798570479376,1.6119712865638889,4,lr_M3_text_only,all_days,3570
0.5051934920489015,0.5029027738749445,0.08421052631578947,0.2502806220397935,0.029858014788349783,511,0.49510762095451355,-3.4949786168508377,2.1835025158914116,4,lr_M3_text_only,filing_days,511
